cityName,lat,lng,temp,humidity,cloudiness,winds
nizhnyaya salda,58.07,60.71,65.16,88,80,1.92
georgetown,6.8,-58.16,87.8,70,75,9.17
dunedin,-45.87,170.5,37.62,69,0,6.51
kaeo,-35.1,173.78,56.34,91,100,16.35
jos,9.92,8.9,76.23,68,24,3.71
marsani,44.01,24.01,75.2,60,92,3.36
spornoye,50.84,37.29,73.4,49,0,11.18
bethel,60.79,-161.76,53.6,100,75,3.36
acapulco,16.86,-99.88,87.8,66,75,9.17
baker city,44.77,-117.83,70.61,40,1,8.05
ritto,35.04,135.98,70.29,98,92,0.69
nioro,13.79,-15.05,88.92,72,44,5.39
turka,49.16,23.03,63.9,69,64,5.06
santa maria,-29.69,-53.81,68.0,82,75,10.29
kanigoro,-8.13,112.22,74.97,89,0,13.67
bahir dar,11.59,37.39,57.6,97,88,2.93
bud,62.91,6.91,60.1,52,20,5.82
new norfolk,-42.78,147.06,42.8,70,75,20.8
astana,51.13,71.43,73.4,69,0,6.71
kinsale,51.71,-8.52,71.6,56,40,9.17
vao,59.1,26.19,68.76,63,76,6.73
tiksi,71.64,128.87,39.87,95,92,6.17
kristinehamn,59.31,14.11,70.72,56,32,9.17
kirakira,-10.46,161.92,82.08,100,68,19.6
isangel,-19.55,169.27,73.98,100,0,19.37
sobolevo,54.43,31.9,61.2,96,80,11.32
waipawa,-39.94,176.59,57.42,68,80,11.65
bayanday,53.07,105.52,49.05,79,20,4.72
padang,-0.92,100.36,82.89,100,48,3.38
katobu,-4.94,122.53,75.6,100,32,5.5
shevchenkove,49.7,37.18,77.0,36,0,8.95
emerald,-23.53,148.16,50.4,56,0,13.22
wanning,48.64,13.53,75.2,38,24,14.99
cape town,-33.93,18.42,53.6,58,0,3.36
chaohu,31.63,117.88,78.8,88,90,6.71
castro,-42.48,-73.76,52.65,81,0,1.7
cidreira,-30.17,-50.22,65.7,100,100,7.85
taoudenni,22.68,-3.98,109.08,8,0,7.96
calamar,1.96,-72.65,83.25,73,24,2.93
tura,25.52,90.21,79.38,95,68,2.37
visnes,59.36,5.22,58.12,76,0,18.34
grenada,33.77,-89.81,84.2,70,40,5.82
huaibei,33.96,116.79,74.25,97,92,10.54
riyadh,24.63,46.72,104.0,4,0,5.82
palana,59.08,159.95,48.78,83,48,2.26
geraldton,49.72,-86.95,78.8,47,75,20.8
tooele,40.53,-112.3,90.81,27,1,13.87
beaupre,47.04,-70.9,73.4,43,20,16.11
port elizabeth,39.31,-74.98,74.61,47,20,9.17
antsohihy,-14.88,47.99,73.44,63,0,12.77
wellington,-41.29,174.78,57.2,93,88,29.97
rocha,-34.48,-54.34,55.44,100,92,13.44
oyama,36.31,139.8,75.2,94,75,10.29
pytalovo,57.06,27.92,69.39,63,32,14.34
tasiilaq,65.61,-37.64,46.4,70,40,11.41
bangkalan,-7.05,112.74,78.21,92,0,6.96
ahipara,-35.17,173.16,58.14,93,88,20.49
petropavlovka,50.61,105.32,42.75,82,64,2.59
port alfred,-33.59,26.89,61.74,93,0,9.19
najran,17.54,44.22,96.8,11,0,9.17
kodiak,39.95,-94.76,78.8,69,1,5.82
kandrian,-6.21,149.55,74.61,98,76,5.06
umm lajj,25.02,37.27,83.34,74,0,4.16
aklavik,68.22,-135.01,57.97,82,90,2.24
plettenberg bay,-34.05,23.37,64.8,91,0,4.72
chapais,49.78,-74.86,75.2,38,40,16.11
lavrentiya,65.58,-170.99,43.02,100,76,5.84
fethiye,36.62,29.12,84.2,48,0,6.93
fortuna,38.18,-1.13,83.32,65,0,13.87
awjilah,29.14,21.3,95.4,25,0,17.47
babstovo,48.12,132.48,58.5,91,0,2.59
airai,-8.93,125.41,59.04,88,0,1.92
hammerfest,70.66,23.68,50.0,81,92,3.36
kavieng,-2.57,150.8,82.35,100,68,8.41
cockburn town,21.46,-71.14,83.34,95,0,17.47
otane,-39.89,176.62,54.18,67,88,12.1
pizarro,4.95,-77.37,80.1,96,64,3.94
marsa matruh,31.35,27.25,80.6,74,75,11.41
san jeronimo,-13.65,-73.37,55.4,50,0,2.48
san patricio,-26.98,-56.83,66.15,81,64,5.17
guerrero negro,27.97,-114.04,85.05,47,0,6.17
sioux lookout,50.1,-91.92,82.4,58,75,12.75
ribeira grande,38.52,-28.7,69.8,88,75,5.82
vaini,15.34,74.49,68.4,99,92,5.39
sibu,2.29,111.83,80.6,88,75,4.7
sibolga,1.74,98.78,70.74,100,92,1.92
aquiraz,-3.9,-38.39,78.8,78,75,13.87
senno,57.76,27.95,69.8,64,48,13.42
vila franca do campo,37.72,-25.43,73.4,83,20,8.05
boddam,57.47,-1.78,64.4,63,20,10.29
wamba,2.14,27.99,74.7,70,36,1.92
aykhal,65.95,111.51,41.4,90,92,7.63
san lorenzo,-25.34,-57.51,71.6,83,75,5.82
san policarpo,12.18,125.51,79.2,100,68,2.93
haines junction,60.75,-137.51,55.98,66,24,2.71
aleksandrovka,46.65,38.4,78.57,72,0,15.01
kumluca,36.37,30.29,73.89,35,0,1.7
ostrovnoy,68.05,39.51,50.13,72,0,17.02
upata,8.02,-62.41,82.89,85,32,4.72
port blair,11.67,92.75,81.9,100,80,22.28
mahebourg,-20.41,57.7,71.6,88,75,11.41
ciudad bolivar,8.12,-63.55,90.18,65,0,9.19
moose factory,51.26,-80.61,84.2,30,20,19.46
seoul,37.57,126.98,68.04,68,20,8.05
skibotn,69.39,20.27,50.0,87,75,10.29
batemans bay,-35.71,150.18,52.65,77,0,11.99
rockport,28.02,-97.05,83.59,70,1,9.17
vardo,39.62,-77.74,73.42,49,1,3.36
aleksandrov gay,50.14,48.57,74.16,62,0,0.58
anzio,41.45,12.63,85.08,45,20,11.41
te anau,-45.41,167.72,42.57,81,24,12.66
klaksvik,62.23,-6.59,51.8,100,92,14.99
dzerzhinsk,56.24,43.46,62.6,100,75,4.47
saint-pierre,48.95,4.24,83.39,39,0,13.87
bouca,6.51,18.28,71.19,95,76,3.94
saint-joseph,43.56,6.97,81.91,69,0,6.93
yerbogachen,61.28,108.01,51.12,84,36,3.94
roma,41.89,12.48,83.55,42,0,11.41
atuona,-9.8,-139.03,79.38,100,0,22.73
carnarvon,-30.97,22.13,35.82,58,0,6.51
two rivers,44.15,-87.57,77.14,56,1,11.41
sunrise manor,36.21,-115.07,99.3,21,1,17.22
eyl,7.98,49.82,84.15,69,0,24.07
hami,42.84,93.51,66.78,45,0,3.71
masindi,1.69,31.72,71.1,60,0,8.19
gorno-altaysk,51.96,85.96,57.42,72,12,6.51
pisco,-13.71,-76.2,62.6,88,90,5.82
gaoual,11.75,-13.2,78.12,95,76,2.59
linqiong,30.42,103.46,77.0,94,40,1.48
sao joao da barra,-21.64,-41.05,84.2,32,0,16.11
hay river,60.82,-115.79,53.6,76,75,11.41
rosario,-34.31,-57.35,51.8,93,90,11.41
port moresby,-9.47,147.16,77.0,94,40,12.75
inta,66.04,60.13,69.39,60,80,0.81
kurara,25.98,79.99,88.02,57,8,5.73
provideniya,64.42,-173.23,43.65,100,48,8.19
myitkyina,25.38,97.4,74.88,99,92,2.04
sao filipe,14.9,-24.5,77.85,92,0,5.95
gobabis,-22.45,18.97,46.62,86,0,7.96
iranshahr,27.21,60.69,105.8,13,0,9.17
de-kastri,51.48,140.77,49.05,96,76,8.41
charlottetown,46.23,-63.13,66.2,45,20,13.87
ossora,59.24,163.07,46.17,100,20,5.06
preobrazheniye,42.9,133.91,39.24,94,24,1.59
paamiut,61.99,-49.67,40.32,95,92,6.85
codroipo,45.96,12.98,79.3,51,0,8.05
saint pete beach,27.73,-82.74,86.47,62,1,4.7
bathsheba,13.22,-59.52,87.8,58,75,19.46
turukhansk,65.8,87.96,55.08,60,36,8.41
coquimbo,-29.95,-71.34,60.8,72,0,10.29
tilichiki,60.47,166.1,50.85,96,12,3.6
zenzeli,45.92,47.05,80.1,47,0,10.87
tutoia,-2.76,-42.27,87.8,62,75,16.11
xining,36.62,101.77,54.09,100,88,2.37
langsa,4.47,97.97,70.74,94,32,2.37
adrar,27.87,-0.29,116.6,5,0,23.04
longyearbyen,78.22,15.63,50.0,71,75,8.05
kosh-agach,49.99,88.66,36.81,71,0,2.71
grindavik,63.84,-22.43,50.0,76,40,11.41
vestmanna,62.16,-7.17,51.8,100,92,14.99
male,50.74,33.7,69.12,62,76,8.97
lumberton,30.27,-94.2,85.96,58,40,4.7
mount isa,-20.73,139.49,55.4,58,0,14.99
berdigestyakh,62.1,126.7,72.27,45,0,6.73
teguise,29.06,-13.56,77.0,65,20,24.16
tuktoyaktuk,69.44,-133.03,53.6,81,90,13.87
suicheng,33.9,117.93,73.98,94,92,11.43
knoxville,35.96,-83.92,79.72,78,75,4.05
jalu,29.03,21.55,94.05,25,0,17.25
pevek,69.7,170.27,38.88,85,80,16.46
gazli,40.13,63.45,83.61,13,0,9.86
qaqortoq,60.72,-46.03,59.0,33,75,10.29
avera,33.19,-82.53,85.15,74,90,9.17
faanui,-16.48,-151.75,79.65,100,8,11.1
chokurdakh,70.62,147.9,41.58,85,8,14.12
guilin,25.28,110.29,78.8,94,90,4.47
kavaratti,10.57,72.64,79.65,100,76,24.18
banepa,27.63,85.52,75.2,88,75,3.36
karaj,35.81,51.01,99.32,9,20,6.93
necochea,-38.55,-58.74,49.14,98,92,11.43
fukue,35.03,136.69,75.2,94,75,6.93
cotonou,6.37,2.43,73.4,94,40,10.29
altay,47.83,88.13,44.91,57,8,3.71
bani,15.89,120.27,73.35,100,92,6.62
vesoul,47.62,6.16,80.6,44,12,5.82
kamaishi,39.28,141.86,67.5,100,80,2.93
bose,45.46,8.01,86.0,28,0,4.7
eydhafushi,5.1,73.07,82.08,100,100,21.5
hohhot,40.81,111.65,66.2,93,40,6.71
shimoda,34.7,138.93,75.2,94,75,2.24
salamanca,40.97,-5.66,84.2,35,20,6.93
kaduy,59.2,37.15,63.54,87,76,3.15
marfino,56.07,37.56,67.55,88,40,4.47
nizhniy kuranakh,58.84,125.49,67.95,53,0,5.39
lebedinyy,58.52,125.52,67.95,53,0,5.39
flagstaff,35.2,-111.65,84.9,30,1,12.75
minab,27.15,57.07,95.0,67,0,6.93
dwarka,28.58,77.04,93.2,49,20,3.36
alice town,25.72,-79.3,85.77,100,0,5.61
bandarbeyla,9.49,50.81,80.64,74,20,27.87
omsukchan,62.53,155.8,52.65,50,24,3.38
izumo,35.37,132.75,68.0,88,75,5.82
shitanjing,39.23,106.34,63.99,60,68,2.26
hofn,64.25,-15.21,50.04,94,44,13.67
longyan,25.1,117.03,69.75,97,92,1.7
mackay,53.65,-115.58,66.2,42,75,16.11
broome,52.47,1.45,78.49,56,0,10.29
cururupu,-1.82,-44.87,78.57,93,76,9.08
jumla,29.28,82.18,39.06,96,76,2.82
axim,4.87,-2.24,72.27,100,92,5.95
mehamn,71.03,27.85,47.97,88,92,3.94
portland,45.52,-122.67,65.93,55,90,3.15
ust-kuyga,70.0,135.55,53.01,95,8,4.16
ancud,-41.87,-73.83,53.37,84,0,3.27
titesti,45.02,25.0,69.12,81,76,2.15
morondava,-20.3,44.28,73.44,79,0,6.96
lompoc,34.64,-120.46,81.09,56,1,9.17
jijiga,9.35,42.8,67.86,66,88,6.4
srednekolymsk,67.46,153.71,66.6,68,80,6.29
coihaique,-45.58,-72.07,28.08,86,0,3.36
ponta do sol,-20.63,-46.0,77.4,40,0,6.96
westport,53.8,-9.52,68.0,68,75,9.17
meyzieu,45.78,5.0,82.38,32,0,14.99
sinnamary,5.38,-52.96,82.98,93,44,10.65
henties bay,-22.12,14.28,70.47,56,20,7.63
berlevag,70.86,29.09,49.5,83,92,4.05
leningradskiy,69.38,178.42,33.39,96,92,9.08
starkville,33.45,-88.82,80.6,78,40,3.94
kupang,-10.16,123.6,75.69,96,0,14.79
muzhi,65.4,64.7,71.28,52,88,4.94
pandan,11.72,122.09,82.71,100,68,17.47
san andres,13.32,122.68,83.43,100,80,19.71
moerai,-22.43,-151.33,76.59,99,24,12.77
kieta,-6.22,155.63,74.88,100,92,6.17
egvekinot,66.32,-179.17,54.72,76,56,3.38
pawayan,28.07,80.1,85.32,78,0,3.83
ginda,30.69,78.49,62.64,100,48,0.92
cayenne,4.94,-52.33,78.8,83,56,12.75
vilyuysk,63.75,121.63,64.8,100,24,3.38
palu,-0.9,119.87,64.98,97,44,1.48
mackenzie,55.34,-123.09,59.0,72,90,4.5
new haven,41.31,-72.93,73.4,43,20,11.41
port-gentil,-0.72,8.78,78.8,83,75,11.41
batagay,67.65,134.64,66.42,89,0,2.93
khorramshahr,30.43,48.18,110.77,19,0,6.93
birjand,32.86,59.22,87.8,5,0,9.17
saint-philippe,45.36,-73.48,75.16,41,20,12.75
galle,29.74,-97.91,85.01,59,75,10.29
straumen,63.87,11.3,60.8,55,75,8.05
verkhnevilyuysk,63.45,120.31,64.44,99,88,3.15
oriximina,-1.77,-55.87,90.27,54,24,4.94
takoradi,4.89,-1.75,72.63,100,92,7.63
pacific grove,36.62,-121.92,69.39,82,20,4.7
wuwei,37.93,102.64,51.75,89,32,2.71
ust-nera,64.57,143.24,59.13,68,24,1.36
hirara,24.8,125.28,83.7,98,68,11.21
santa cruz,36.97,-122.03,73.76,50,1,3.36
alofi,-19.06,-169.92,71.1,100,92,25.52
moron,10.49,-68.2,89.6,46,75,1.36
boa vista,2.82,-60.67,73.4,75,90,2.24
casian,44.5,28.48,76.21,73,20,4.7
thoen,17.61,99.22,71.37,100,100,2.37
barra patuca,15.8,-84.28,81.99,95,64,10.54
vanavara,60.35,102.28,50.49,74,0,4.61
sao jose dos campos,-23.18,-45.89,77.4,39,0,2.24
ishigaki,24.34,124.16,83.7,97,76,13.0
puerto leguizamo,-0.19,-74.78,77.4,89,88,3.04
masuguru,-11.38,38.46,78.12,59,64,10.09
nalut,31.86,10.98,95.94,22,0,12.1
fairbanks,64.84,-147.72,57.2,82,1,4.38
oranjemund,-28.55,16.43,67.5,71,0,16.58
santa marta,11.24,-74.21,87.8,70,20,4.7
mar del plata,-46.43,-67.52,38.7,85,0,4.61
saint-augustin,44.83,-0.61,85.01,40,0,10.29
suhbaatar,50.23,106.21,45.18,86,20,3.15
clyde river,70.47,-68.59,50.0,71,75,10.29
taixing,32.17,120.02,75.78,94,88,11.21
bonfim,-20.33,-44.24,77.61,27,0,4.7
atar,20.52,-13.05,106.56,14,0,4.38
la palma,5.36,-74.39,79.74,62,36,2.37
bambanglipuro,-7.95,110.28,65.61,94,0,2.26
zhangye,38.94,100.46,57.51,80,36,4.16
patitirion,39.15,23.87,81.73,69,40,5.82
poronaysk,49.22,143.1,43.47,93,76,2.15
shangrao,28.45,117.97,70.38,96,44,2.48
eten,-6.91,-79.86,68.0,72,90,6.93
aldan,58.61,125.39,67.95,53,0,5.39
belyy yar,53.6,91.39,51.8,87,0,2.24
nizhniy baskunchak,48.22,46.83,77.4,65,48,3.15
narsaq,60.91,-46.05,59.0,33,75,10.29
narasannapeta,18.42,84.04,73.71,100,92,3.49
brewster,41.76,-70.08,71.15,37,1,8.05
kununurra,-15.77,128.74,73.4,30,0,10.29
kabare,-1.65,29.38,56.34,94,0,4.38
havre-saint-pierre,50.23,-63.6,62.6,45,75,19.46
lorengau,-2.02,147.27,81.0,100,92,9.42
agadez,16.97,7.99,102.2,24,20,9.17
inhambane,-23.87,35.38,68.0,94,75,14.0
manakara,-22.14,48.01,70.56,100,80,7.74
ginir,7.14,40.71,65.34,66,0,9.98
kloulklubed,7.04,134.26,79.63,83,90,5.82
sitka,37.17,-99.65,88.47,65,12,8.19
norman wells,65.28,-126.83,50.0,87,75,3.36
mabaruma,8.2,-59.78,80.82,89,80,5.5
meulaboh,4.14,96.13,80.19,100,0,4.72
kitimat,54.02,-128.69,60.8,82,75,13.87
mitsamiouli,-11.38,43.28,78.8,69,20,14.99
linxia,35.6,103.21,53.01,97,92,2.37
verkhoyansk,67.55,133.39,67.14,80,36,3.15
tuatapere,-46.13,167.69,49.95,94,44,15.79
vidim,50.47,14.53,74.28,23,0,8.05
kollam,8.88,76.6,80.6,88,75,5.82
ambilobe,-13.19,49.05,73.44,63,0,14.9
lira,2.25,32.9,67.05,84,76,2.93
khani,41.96,42.96,75.2,78,75,6.93
kalengwa,-13.47,25.0,60.75,61,0,8.63
mehndawal,26.98,83.11,83.79,91,20,8.75
vangaindrano,-23.35,47.6,57.6,95,0,3.6
hailar,49.2,119.7,62.82,96,100,17.02
san quintin,17.54,120.52,71.64,95,92,2.71
cambara,-23.05,-50.07,83.97,38,8,10.76
hervey bay,-25.3,152.85,57.87,100,0,17.81
shizunai,42.33,142.37,51.21,100,100,4.83
asbe teferi,9.08,40.87,60.66,92,64,2.26
hamilton,43.26,-79.87,74.86,43,20,6.93
shieli,44.18,66.74,80.64,24,0,7.63
inyonga,-6.72,32.06,65.7,46,24,4.5
saldanha,41.42,-6.55,82.17,40,0,3.49
jinchang,38.52,102.19,53.19,87,0,3.94
kuantan,3.82,103.33,80.6,88,75,5.82
tuburan,10.73,123.82,80.6,78,40,4.7
sola,58.89,5.65,57.85,62,0,19.46
hailey,43.52,-114.32,71.6,40,5,9.17
dumbraveni,46.23,24.57,64.99,88,75,2.24
kencong,-7.78,112.24,66.24,90,0,4.16
abashiri,44.01,144.25,49.32,99,92,3.15
goderich,43.74,-81.71,75.96,60,0,7.18
kontagora,10.4,5.47,81.72,80,64,4.72
urozhaynoye,47.7,142.03,45.72,89,0,1.81
mayumba,-3.44,10.65,72.99,92,8,6.51
mujiayingzi,42.12,118.78,68.13,82,92,6.96
zinder,13.81,8.99,95.0,39,20,11.41
miri,10.31,9.75,74.34,90,48,0.69
kahului,20.89,-156.47,73.35,94,75,12.75
nueve de julio,-31.67,-68.39,46.08,78,56,3.94
east london,-33.02,27.91,55.4,58,0,4.7
junction city,39.03,-96.83,90.46,46,20,6.93
afsin,38.25,36.91,65.97,34,0,6.96
shiyan,32.65,110.78,68.22,87,48,1.36
teeli,51.01,90.2,36.72,79,0,2.15
neryungri,56.66,124.71,53.82,69,0,5.95
quzhou,28.97,118.86,74.25,97,64,2.15
poltavka,54.36,71.76,73.08,47,0,9.64
camacha,33.08,-16.33,74.64,73,75,11.41
anadyr,64.73,177.51,48.2,93,40,13.42
tongchuan,34.9,108.95,78.8,78,48,4.47
vysokogornyy,50.1,139.13,51.57,91,88,2.15
izhma,65.01,53.91,67.05,86,0,2.37
aloleng,16.13,119.78,77.4,100,92,12.77
kamiiso,41.82,140.65,54.27,100,88,1.92
baruun-urt,46.68,113.28,54.9,91,68,2.48
rosetta,31.4,30.42,80.6,83,40,8.05
roros,62.57,11.38,53.6,58,32,12.75
varkaus,62.32,27.87,66.2,72,90,8.05
arlit,18.74,7.39,94.32,15,0,1.7
lebu,8.96,38.73,54.18,94,92,2.71
vestmannaeyjar,63.44,-20.27,50.0,93,40,10.29
gallup,35.53,-108.74,81.55,30,1,3.36
launceston,-41.43,147.14,39.2,69,0,6.93
trincomalee,8.58,81.23,81.18,72,8,19.82
mahon,51.89,-8.4,71.6,56,40,9.17
talaya,55.79,84.89,53.64,74,0,8.19
ereymentau,51.62,73.1,73.98,60,12,8.41
iquitos,-3.75,-73.25,84.2,74,40,4.7
makakilo city,21.35,-158.09,77.47,88,90,3.36
panzhihua,26.59,101.72,66.42,95,92,2.15
bordighera,43.79,7.66,79.09,74,75,2.24
lagoa,37.14,-8.45,78.8,61,0,11.41
huarmey,-10.07,-78.15,70.02,64,0,3.71
ilinskiy,55.62,38.12,67.51,56,0,4.47
san lawrenz,36.06,14.2,78.8,65,0,23.04
vega de alatorre,20.03,-96.65,77.94,82,64,3.15
malyye derbety,47.95,44.68,76.59,53,8,4.5
east wenatchee,47.42,-120.29,72.25,35,1,13.87
bucarasica,8.04,-72.87,93.2,34,20,20.8
vostok,46.45,135.83,45.36,88,0,2.04
ewo,-0.88,14.81,75.51,79,0,2.71
havoysund,71.0,24.66,50.0,81,92,3.36
tekeli,44.86,78.76,62.37,66,0,2.15
kozhva,65.11,57.05,66.06,91,12,0.92
yar-sale,66.83,70.83,60.3,60,88,11.21
panama city,30.16,-85.65,79.59,74,40,9.17
lagos,6.46,3.39,73.4,94,75,2.24
sri aman,1.24,111.46,75.2,100,64,1.81
bilibino,68.06,166.44,66.87,64,80,5.73
tibiri,13.59,7.06,91.4,52,20,11.41
nola,3.52,16.05,69.75,98,24,1.7
kuching,1.56,110.34,78.8,94,75,3.36
indiana,40.62,-79.15,70.18,43,1,4.7
ayapa,18.18,-93.17,86.0,66,75,14.99
caboolture,-27.08,152.95,54.45,72,0,18.34
puerto ayacucho,5.66,-67.63,84.2,70,40,5.82
chirkey,42.96,46.98,78.8,61,92,6.71
shakawe,-18.36,21.84,66.15,40,92,8.63
nsunga,-1.13,31.39,61.92,69,0,3.49
utica,43.1,-75.23,75.2,44,1,3.27
iskateley,67.68,53.15,52.29,66,64,19.82
zabid,14.2,44.5,64.26,47,32,3.49
tazovskiy,67.47,78.7,66.78,40,92,11.65
les escoumins,48.35,-69.4,68.13,50,36,10.2
ulaanbaatar,47.92,106.92,46.4,81,0,2.24
amazar,53.86,120.88,61.47,74,48,6.17
byron bay,-28.65,153.62,57.2,100,0,11.41
rafina,38.02,24.01,85.03,42,20,8.05
gornyy,51.76,48.54,74.88,57,64,2.04
taveta,-3.4,37.68,66.78,68,8,7.29
gat,14.69,-16.54,95.0,50,20,2.24
johnstown,40.33,-78.92,70.29,45,1,6.93
yuli,10.52,9.86,81.81,63,44,1.81
birao,10.3,22.78,77.85,82,36,3.49
muli,22.62,71.45,83.43,75,12,12.77
diego de almagro,-26.39,-70.05,68.94,67,0,1.36
nemuro,43.32,145.57,52.38,100,92,20.94
la reforma,14.8,-91.82,86.0,66,75,6.93
umm kaddadah,13.6,26.69,78.03,61,92,12.33
talas,38.69,35.55,78.8,19,0,3.36
kholodnyy,62.72,147.95,55.44,61,36,2.48
ust-ilimsk,57.96,102.73,54.18,77,80,4.05
petropavlovsk-kamchatskiy,53.05,158.65,44.6,93,40,6.71
chilakalurupet,16.09,80.17,73.26,99,92,4.27
buraydah,26.33,43.97,107.6,16,0,4.7
yatou,3.63,9.81,82.4,78,40,3.36
nome,30.04,-94.42,86.45,58,40,4.7
saint george,39.45,22.34,77.0,73,75,19.46
eureka,40.8,-124.16,58.98,77,90,10.29
carutapera,-1.2,-46.02,75.96,100,92,9.75
